question,choices,answer,level,subject
"Let HH be a Merkle-Damgard hash function is H:X^{\leq L} \to TH:X^≤L  →T. Construct a MAC from this HH as follows: \ \ S(k,m) = H(k \| m)  S(k,m)=H(k∥m). This mac is insecure because:","['A. Given H(k \\| m)H(k∥m) anyone can compute H(w \\| k \\| m \\| \\text{PB})H(w∥k∥m∥PB) for any ww', 'B. Given H(k \\| m)H(k∥m) anyone can compute H(k \\| m \\| w)H(k∥m∥w) for any ww', 'C. Given H(k \\| m)H(k∥m) anyone can compute H(k \\| m \\| \\text{PB} \\| w)H(k∥m∥PB∥w) for any ww', 'D. Anyone can compute H( k \\| m )H(k∥m) for any mm']",C. Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| \text{PB} \| w)H(k∥m∥PB∥w) for any ww,college,computer_security
A packet filter firewall filters at the,"['A. Application or transport', 'B. Data link layer', 'C. Physical Layer', 'D. Network or transport layer']",D. Network or transport layer,college,computer_security
Which of the following deals with network intrusion detection and real-time traffic analysis?,"['A. John the Ripper', 'B. L0phtCrack', 'C. Snort', 'D. Nessus']",C. Snort,college,computer_security
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?
1. An attacker stealing the server’s private key and reading the plaintext of recorded past connections.
2. An attacker breaking into a certificate authority and creating a fake certificate for the server.","['A. True, True', 'B. False, False', 'C. True, False', 'D. False, True']","C. True, False",college,computer_security
Can we build a secure PRP from a secure PRG?,"['A. No, it cannot be done', 'B. Yes, just plug the GGM PRF into the Luby-Rackoff theorem', 'C. It depends on the underlying PRG', 'D. Option text']","B. Yes, just plug the GGM PRF into the Luby-Rackoff theorem",college,computer_security
"The AH Protocol provides source authentication and data integrity, but not","['A. Integrity', 'B. Privacy', 'C. Nonrepudiation', 'D. Both A & C']",B. Privacy,college,computer_security
A completely submerged object always displaces its own,"['A. weight of fluid.', 'B. volume of fluid.', 'C. density of fluid.', 'D. All of these.']",B. volume of fluid.,college,conceptual_physics
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is","['A. half', 'B. twice', 'C. the same', 'D. None of these']",C. the same,college,conceptual_physics
Thermal convection involves mainly,"['A. radiant energy', 'B. fluids', 'C. insulators', 'D. All of these']",B. fluids,college,conceptual_physics
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be","['A. one-quarter the value for a tube open at both ends', 'B. one-half the value for a tube open at both ends', 'C. twice the value for a tube open at both ends', 'D. four times the value for a tube open at both ends']",B. one-half the value for a tube open at both ends,college,conceptual_physics
As more lamps are connected in a series circuit the current in the power source,"['A. increases.', 'B. decreases.', 'C. remains much the same.', 'D. Need more information.']",B. decreases.,college,conceptual_physics
"When a wave moves from shallow water to deep water, the","['A. frequency decreases, the wavelength increases, and the speed increases', 'B. frequency does not change, the wavelength increases, and the speed increases', 'C. frequency does not change, the wavelength decreases, and the speed decreases', 'D. frequency does not change, the wavelength increases, and the speed decreases']","B. frequency does not change, the wavelength increases, and the speed increases",college,conceptual_physics
A string is plucked producing four loops (antinodes). The length of the string is 12.00 m. The wavelength of the wave must be,"['A. 48.0 m', 'B. 24.0 m', 'C. 6.00 m', 'D. 3.00 m']",C. 6.00 m,college,conceptual_physics
Black is the combination of,"['A. all the colors together', 'B. two or more appropriate colors', 'C. light when a prism is held upside down', 'D. None of these']",D. None of these,college,conceptual_physics
"When you bend the branch of a tree by hanging on its end, the top side of the branch is under","['A. tension.', 'B. compression.', 'C. Both.', 'D. Neither.']",A. tension.,college,conceptual_physics
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,"['A. 7 N', 'B. 5 N', 'C. 10 N', 'D. 12 N']",A. 7 N,college,conceptual_physics
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,"['A. mainly yellow.', 'B. blue and red.', 'C. green and yellow.', 'D. red and green.']",D. red and green.,college,conceptual_physics
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is","['A. less than 3 A', 'B. 3 A', 'C. more than 3 A', 'D. Not enough information to say']",B. 3 A,college,conceptual_physics
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to","['A. remain unchanged', 'B. decrease', 'C. increase', 'D. spread out uniformly']",C. increase,college,conceptual_physics
Newton’s law of cooling applies to objects that,"['A. cool', 'B. warm up', 'C. Both', 'D. Neither']",C. Both,college,conceptual_physics
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will","['A. move at a constant speed in a straight line', 'B. accelerate at a constant rate in a straight line', 'C. come to rest', 'D. increase its amount of inertia']",A. move at a constant speed in a straight line,college,conceptual_physics
"Which of the following statements are true concerning the autocorrelation function (acf) and partial autocorrelation function (pacf)?

i) The acf and pacf will always be identical at lag one whatever the model

ii) The pacf for an MA(q) model will in general be non-zero beyond lag q

iii) The pacf for an AR(p) model will be zero beyond lag p

iv) The acf and pacf will be the same at lag two for an MA(1) model","['A. (ii) and (iv) only', 'B. (i) and (iii) only', 'C. (i), (ii), and (iii) only', 'D. (i), (ii), (iii), and (iv)']","C. (i), (ii), and (iii) only",college,econometrics
"Under which of the following situations would bootstrapping be preferred to pure simulation?

i) If it is desired that the distributional properties of the data in the experiment

are the same as those of some actual data


ii) If it is desired that the distributional properties of the data in the experiment

are known exactly


iii) If the distributional properties of the actual data are unknown


iv) If the sample of actual data available is very small","['A. (ii) and (iv) only', 'B. (i) and (iii) only', 'C. (i), (ii), and (iv) only', 'D. (i), (ii), (iii), and (iv)']",B. (i) and (iii) only,college,econometrics
"Which of the following statements are correct concerning the use of antithetic variates as part of a Monte Carlo experiment?

i) Antithetic variates work by reducing the number of replications required to cover the whole probability space

ii) Antithetic variates involve employing a similar variable to that used in the simulation, but whose properties are known analytically

iii) Antithetic variates involve using the negative of each of the random draws and repeating the experiment using those values as the draws

iv) Antithetic variates involve taking one over each of the random draws and repeating the experiment using those values as the draws","['A. (ii) and (iv) only', 'B. (i) and (iii) only', 'C. (i), (ii), and (iv) only', 'D. (i), (ii), (iii), and (iv)']",B. (i) and (iii) only,college,econometrics
"If two variables, $x_t$ and $y_t$ are said to be cointegrated, which of the following statements are true?

i) $x_t$ and $y_t$ must both be stationary


ii) Only one linear combination of $x_t$ and $y_t$ will be stationary


iii) The cointegrating equation for $x_t$ and $y_t$ describes the short-run relationship

between the two series


iv) The residuals of a regression of $y_t$ on $x_t$ must be stationary","['A. (ii) and (iv) only', 'B. (i) and (iii) only', 'C. (i), (ii), and (iii) only', 'D. (i), (ii), (iii), and (iv)']",A. (ii) and (iv) only,college,econometrics
"Consider the following MA(3) process

yt = μ + Εt + θ1Εt-1 + θ2Εt-2 + θ3Εt-3 , where σt is a zero mean white noise process with variance σ2.

Which of the following statements are true?

i) The process yt has zero mean

ii) The autocorrelation function will have a zero value at lag 5

iii) The process yt has variance σ2

iv) The autocorrelation function will have a value of one at lag 0","['A. (ii) and (iv) only', 'B. (i) and (iii) only', 'C. (i), (ii), and (iii) only', 'D. (i), (ii), (iii), and (iv)']",A. (ii) and (iv) only,college,econometrics
